Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_negative,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.9860899999999998,0.00856982496904109,0.961,1.0,0.8993388111395909,0.10948616681264418,0.49824385348720523,1.0,0.9856444814930607,0.008653416123845566,0.9605033862573963,1.0,0.7887626991689559,0.2318894684161008,-0.002865329512880903,0.9559566221665426
opposing_trend,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.58713,0.016866923252330284,0.539,0.634,0.5855914433598916,0.016959177508774657,0.5372782122276993,0.632587666991917,0.586013812129865,0.016949319052904345,0.5371653081114828,0.6326787852505029,0.17333902710339366,0.03365773199526993,0.07846445391522686,0.2676484712662078
strict_positive,Majority,None,Buffer=5,0.90044,0.10378451907678718,0.578,0.999,0.4861014603720526,0.011452598635815176,0.45625,0.5149476232433539,0.873156921166769,0.1175930844513947,0.5520837214302818,0.9994997498749375,-0.0033866011927670627,0.01389381343525007,-0.04960911108966322,0.06401614357477085
strict_positive,Majority,None,Buffer=20,0.9108900000000001,0.08721007911933115,0.621,0.999,0.47710662747758065,0.02197553761901023,0.40920886336272333,0.4997498749374687,0.873196795405333,0.11932416579126398,0.5276321234464673,0.9994997498749375,-0.0018790883505858183,0.004116527365086504,-0.031988934028950096,0.014694290521064957
strict_positive,Majority,None,Buffer=100,0.9115700000000001,0.08528625387481854,0.653,0.999,0.4759475892076965,0.024579589377339884,0.4031555356034063,0.4997498749374687,0.8726988664877601,0.12056900210697784,0.5220923130905019,0.9994997498749375,-0.001779500347630742,0.0013524327696949445,-0.003989537372189814,0.009823182711198222
positive_noisy,Majority,None,Buffer=5,0.50147,0.017978017132042133,0.455,0.555,0.5000613774820986,0.017807794903458393,0.45368830562179796,0.5511176162630593,0.5010055980029082,0.01795175041533429,0.4544913838125339,0.5540398405811867,0.0004927308528041494,0.03556438515461426,-0.09222814541664998,0.10271403798846633
positive_noisy,Majority,None,Buffer=20,0.50079,0.018690797200761677,0.46,0.548,0.4934833390980847,0.020540336206979242,0.42708333333333337,0.5430577122153208,0.494851163091484,0.019892766982636683,0.43799166666666667,0.5428294581826554,-0.00239419502247198,0.0367691293996245,-0.0925524342399311,0.09880092671975518
positive_noisy,Majority,None,Buffer=100,0.502,0.015965587994183003,0.466,0.54,0.4876996447956822,0.021942306124526568,0.4123988942880063,0.5329995329995331,0.4906373991601761,0.01919600268348206,0.4347976571011481,0.532993928993929,-0.005772635189389805,0.03012350256851587,-0.07347472107749528,0.06615688564321195
strict_negative,Majority,None,Buffer=5,0.9013799999999997,0.10390647525539494,0.577,1.0,0.491309498260218,0.052371911983131014,0.4567931383737294,1.0,0.8736159202651949,0.11766735346714885,0.5507132673165613,1.0,-0.0018537944527851776,0.013783770414372653,-0.048009084758867025,0.06584702276405911
strict_negative,Majority,None,Buffer=20,0.9118299999999999,0.08734197788005489,0.62,1.0,0.4822403606324924,0.056481364950276045,0.4095716864319573,1.0,0.8736191134019292,0.11946856030971523,0.5257193681427464,1.0,-0.00026038215476131864,0.004194449882688009,-0.03558036103601658,0.01148935603690443
strict_negative,Majority,None,Buffer=100,0.91251,0.08541083010953587,0.652,1.0,0.4810682995562482,0.057692296837781966,0.4000992939099735,1.0,0.8731126244396421,0.12074062844228847,0.5198298764342453,1.0,-0.00016353262980934924,0.0007799487284910027,-0.005979642970951467,0.0
opposing_trend,Majority,None,Buffer=5,0.50242,0.015755748157418623,0.455,0.54,0.5013798078357588,0.015778149538008202,0.45440584796843764,0.5353535353535354,0.5020523998599312,0.015760533425748527,0.4545498848245739,0.5385131313131314,0.0030705033005589783,0.031528269220918934,-0.09050599478157864,0.07166728555514294
opposing_trend,Majority,None,Buffer=20,0.50107,0.016959513554344663,0.46,0.534,0.49498361595397883,0.017145892312519277,0.4570266780892166,0.5319831513934502,0.4959378816886663,0.016975615260852818,0.4565445177793598,0.5325398356269725,-0.0006805643165894146,0.03310955341732222,-0.07793037368252946,0.06504714719514151
opposing_trend,Majority,None,Buffer=100,0.5003500000000001,0.01542035991797858,0.464,0.542,0.4886370479720372,0.019720853442733548,0.4384177076484769,0.5409423311309256,0.4907193863100735,0.018309664883596057,0.4471154941924173,0.5411308622412689,-0.006385020253595961,0.03065310049400046,-0.07251051500514231,0.08518559946309587
