dataset,constraint_config,accuracy,macrof1,constraint_violations_avoided,avg_constraint_satisfaction
heart_disease,age+chol(-),0.8013468013468014,0.7972930765226445,0,0.7295
heart_disease,No Constraints,0.797979797979798,0.7940551035502958,0,1.0
hepatitis,Age(+),0.85,0.5303326810176124,0,0.920625
hepatitis,Albumin(-),0.85,0.5303326810176124,0,0.9603124999999999
hepatitis,No Constraints,0.85,0.5303326810176124,0,1.0
ionosphere,No Constraints,0.8062678062678063,0.7578131341829695,0,1.0
iris,petal length(+),0.9066666666666666,0.9061172929097457,0,0.9948
iris,petal width(+),0.9066666666666666,0.9061172929097457,0,0.9944
iris,sepal width(-),0.9066666666666666,0.9061172929097457,0,0.6925999999999999
iris,petal length+petal width(+),0.9066666666666666,0.9061172929097457,0,0.9950999999999999
iris,No Constraints,0.9066666666666666,0.9061172929097457,0,1.0
london,car_ownership(+),0.7760155883876378,0.7748985633436389,0,0.9688999999999999
london,distance(+),0.7752509681079348,0.7741230191065358,0,0.6963999999999999
london,driving_license(+),0.7754729546407518,0.7743405788442279,0,0.9856
london,pt_interchanges(+),0.7750043164048048,0.7738448214972959,0,0.8842999999999998
london,car_ownership(-),0.7755346175665343,0.7744013639602667,0,0.6418
london,distance(-),0.7755099523962213,0.7743534637716093,0,0.8227
london,driving_license(-),0.7754236243001258,0.7742870326235031,0,0.8100999999999998
london,pt_interchanges(-),0.7756826085884123,0.7745477242113201,0,0.9615
london,car_ownership+distance+driving_license+pt_interchanges(+),0.7751399748415263,0.7739975701508988,0,0.8838499999999998
london,car_ownership+distance+driving_license+pt_interchanges(-),0.7754606220555953,0.7743269948697641,0,0.8067250000000001
london,No Constraints,0.7755962804923168,0.7744534096393503,0,1.0
mammographic_mass,Age(+),0.7602409638554217,0.7602239090891936,0,0.8648
mammographic_mass,Density(-),0.7662650602409639,0.7662528452640869,0,0.9808000000000001
mammographic_mass,No Constraints,0.7662650602409639,0.7662596315199656,0,1.0
monk_s_problems,a1(+),0.7419354838709677,0.7418683320322664,0,0.9330000000000002
monk_s_problems,a2(+),0.7419354838709677,0.7418683320322664,0,0.8787999999999999
monk_s_problems,a3(+),0.7419354838709677,0.7418683320322664,0,0.8317999999999998
monk_s_problems,a4(-),0.7419354838709677,0.7418683320322664,0,0.8653
monk_s_problems,a5(-),0.7419354838709677,0.7418683320322664,0,0.917
monk_s_problems,a6(-),0.7419354838709677,0.7418683320322664,0,0.8827000000000002
monk_s_problems,a1+a2+a3(+),0.7419354838709677,0.7418683320322664,0,0.8808999999999999
monk_s_problems,a4+a5+a6(-),0.7419354838709677,0.7418683320322664,0,0.8917666666666668
monk_s_problems,No Constraints,0.7419354838709677,0.7418683320322664,0,1.0
ohio,drivers(+),0.7998252533418257,0.7172685796364944,0,0.8925000000000003
ohio,workers(+),0.8002498713897259,0.7178331462668576,0,0.8661999999999999
ohio,guest(+),0.7991474976115235,0.7163148378407616,0,0.9579000000000001
ohio,income(-),0.7995394527326621,0.716889609008755,0,0.8743000000000001
ohio,students(-),0.7989351885875734,0.7159228921562939,0,0.8495999999999999
ohio,(+),0.7997517617566122,0.7172669566512156,0,1.0
ohio,(-),0.7995394527326621,0.7168543201292404,0,1.0
ohio,No Constraints,0.7998252533418257,0.7171839596463303,0,1.0
spambase,word_freq_free(+),0.9941317104977179,0.9938703886735192,0,1.0
spambase,word_freq_money(+),0.9939143664420778,0.9936439615957688,0,1.0
spambase,word_freq_hp(-),0.994349054553358,0.9940968576053058,0,1.0
spambase,word_freq_george(-),0.9936970223864378,0.99341757629327,0,1.0
