Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_positive,Majority,None,Buffer=100,0.9795320000000001,0.019446135245852838,0.8984,0.9998,0.49483970155332196,0.005039959221258154,0.47324062368310155,0.49994999499949994,0.969704713346361,0.028805439054885466,0.85050804888327,0.999899989999,-0.00026928815785120093,0.0011003459192041759,-0.00039937203277181586,0.01066819588533239
positive_noisy,Majority,None,Buffer=5,0.49915,0.006411450693875764,0.4826,0.514,0.49890140417396167,0.006414602941810283,0.48257166562440956,0.5138992021385556,0.49906853330651807,0.006408902107985092,0.4825961710303256,0.5139580008910647,-0.002130438137854298,0.01283145592240865,-0.03485563383887513,0.027833409533057654
positive_noisy,Majority,None,Buffer=20,0.499692,0.00679878930398641,0.4842,0.517,0.4950294675715346,0.006978618385607107,0.4788985456113005,0.5151482347440639,0.49528449532708835,0.0068654660147165905,0.47918198311437166,0.5148845529600471,-0.0013785256244370297,0.013043229335563003,-0.03189463382756442,0.035124196096643925
positive_noisy,Majority,None,Buffer=100,0.5012200000000001,0.0072400276242566945,0.4824,0.519,0.49794683579131366,0.007898110136144445,0.47619954352449867,0.5187541988946274,0.49846773555316004,0.007592880230283866,0.47713417115499696,0.5188760118318032,0.0006231177734587241,0.014255429645294429,-0.0386271371920499,0.03763353084854709
strict_negative,Majority,None,Buffer=5,0.9794059999999999,0.020217130459093353,0.8906,1.0,0.5000943879140134,0.05044040741679394,0.4779311791252025,1.0,0.9696886761885556,0.02903046851492069,0.8487129585701161,1.0,-2.2368218723597373e-05,0.0022336065622603493,-0.005748949833115233,0.016920562964525616
strict_negative,Majority,None,Buffer=20,0.9797279999999999,0.019448835852050372,0.8986,1.0,0.49983056224378564,0.05051863812654857,0.4732961129253134,1.0,0.969798807164178,0.028809411199737893,0.8506077741493732,1.0,-7.911015374060221e-06,7.871360911947246e-05,-0.000791101537406022,0.0
strict_negative,Majority,None,Buffer=100,0.9797279999999999,0.019448835852050372,0.8986,1.0,0.49983056224378564,0.05051863812654857,0.4732961129253134,1.0,0.969798807164178,0.028809411199737893,0.8506077741493732,1.0,-7.911015374060221e-06,7.871360911947246e-05,-0.000791101537406022,0.0
opposing_trend,Majority,None,Buffer=5,0.499314,0.007072779086045318,0.4774,0.5168,0.4990620759281484,0.007094843660382752,0.4765708673166643,0.516462994048332,0.4992336364529833,0.007082901136656912,0.47715417674212657,0.5166366031749489,-0.0018118586351199431,0.014179810405655635,-0.04671228991647136,0.03308451801824591
opposing_trend,Majority,None,Buffer=20,0.500454,0.006724632629370914,0.4848,0.5196,0.4958686708084812,0.00724806338018838,0.47915725060456504,0.5189342820168261,0.49614714798026177,0.007070022265889287,0.4815267517749546,0.5186336351857155,5.854746055692441e-05,0.013336372697252411,-0.029044624743857293,0.04066984728678099
opposing_trend,Majority,None,Buffer=100,0.5005839999999999,0.006891309309557944,0.4846,0.515,0.4971590965330702,0.007194034789121952,0.4826707982256935,0.5149734399455714,0.49770151104325605,0.007009515328257443,0.48326336711155055,0.5150136389468687,-0.0007315433416450888,0.013438984994532862,-0.03081649306388909,0.029960888023005023
